"SiteID","HYBAS_ID","log_CVc","log_CVe","log_Delta","log_Psi","log_omega","s_nat_rich_covar","s_inv_rel_abund","yrs_with_intro","s_inv_rich","s_spat_btw_c","b_spat_wc_mean_c","s_spat_btw","b_spat_wc_mean"
"S10075",7070453370,-0.442748311522231,0.0905337090269853,-0.0874020108804372,-0.279814669243455,-0.166065340425324,5,0.107692307692308,7,1,-0.00352576421580218,25.1207911150179,0.000889613759359478,90.0190455212922
"S10086",2070514170,-0.477433280444784,0.11447583833897,-0.0412097086583234,-0.306060034980859,-0.244639375144571,9,0.195225145843461,10,6,-0.00441537797516166,-12.546489700392,0,52.3517647058824
"S10091",7070453370,-0.206197658312711,0.246294124783074,-0.0328946206970162,-0.248359400859239,-0.17123776153953,5,0.333333333333333,6,1,-0.00352576421580218,25.1207911150179,0.000889613759359478,90.0190455212922
"S10201",2070513970,0.12979302745239,0.338871909409106,0.147616646277748,-0.272799735600648,-0.0838957926338158,6,0.009009009009009,7,2,-0.00441537797516166,14.5287281373665,0,79.4269825436409
"S10326",2070513970,-0.888104033415499,-0.36578696524359,0.0274741867995823,-0.344000083711093,-0.205791171260399,4,0,1,1,0.0010676319086851,14.5287281373665,0.00548300988384676,79.4269825436409
"S10447",7070546670,-1.04958678928326,-0.00503376421384472,-0.185411731186838,-0.221533192613639,-0.637608101268942,21,0.0106007067137809,20,1,-0.00441537797516166,-60.5554766284966,0,4.34277777777778
"S10456",2070513970,-0.952877902816778,-0.358842426265045,-0.0597994110177575,-0.450933038925304,-0.0833030266086714,3,0,0,0,-0.00441537797516166,14.5287281373665,0,79.4269825436409
"S10577",2070513970,-0.575659016183615,-0.157871699225851,-0.08456286887701,-0.252837763310042,-0.0803866847707123,4,0,1,1,-0.00203459736770188,14.5287281373665,0.00238078060745978,79.4269825436409
"S10804",2070513970,-0.236280479743549,0.145621843707589,-0.0016532655629333,-0.21631370428468,-0.163935353603525,7,0.0210526315789474,7,1,0.00142835624314871,14.5287281373665,0.00584373421831037,79.4269825436409
"S10916",2070513970,0.118685315526682,0.522997592499938,0.0226489755017103,-0.221553177644403,-0.205408074830564,5.5,0.0376121463077985,7,2,-0.00232317683527276,14.5287281373665,0.0020922011398889,79.4269825436409
"S10944",7070451570,-0.699035889678485,-0.381112496535751,-0.0750878357322936,-0.18212176178455,-0.0607137956258906,9,0.0102040816326531,1,1,0.00478002432368891,-30.8933905930448,0.00919540229885057,34.0048638132296
"S10956",7070451570,-1.36577734695479,-0.646200090638345,-0.0698125174753956,-0.371035776402565,-0.278728962438489,6,0,0,0,-0.00441537797516166,-30.8933905930448,0,34.0048638132296
"S11025",7070451570,-1.87543755867938,-0.253762343459957,0.0324349026664039,-0.715360964467066,-0.938749153418761,15,0,0,0,0.0645501392662177,-30.8933905930448,0.0689655172413793,34.0048638132296
"S11036",2070513970,-0.512013660016524,-0.102307951673421,-0.000377640555252857,-0.342122265734196,-0.067205802053654,6,0.0454545454545454,1,1,-0.00441537797516166,14.5287281373665,0,79.4269825436409
"S11039",7070451570,-1.92611177593957,-1.24185411618073,-0.191888678968394,-0.484790434870565,-0.00757854591987837,9.5,0,0,0,0.0645501392662177,-30.8933905930448,0.0689655172413793,34.0048638132296
"S11061",7070451570,-0.0328360091645905,-0.152791669942665,0.132814556619106,-0.0105137340399187,-0.00234516180111289,8,0,0,0,0.0507570358179418,-30.8933905930448,0.0551724137931034,34.0048638132296
"S11072",7070451570,-1.53090874905652,-0.552962901071329,0.0434754705496712,-0.5115167059961,-0.509904612538762,8.5,0,0,0,0.0507570358179418,-30.8933905930448,0.0551724137931034,34.0048638132296
"S11116",7070451570,-0.322257223560659,-0.155009423262237,0.0576840602837687,-0.163948422513792,-0.0609834380683981,8,0.0059880239520958,4,1,0.0507570358179418,-30.8933905930448,0.0551724137931034,34.0048638132296
"S11150",2070513970,-1.14056228336151,-0.0909660517128051,-0.0286786837757582,-0.484006730813693,-0.536910817059258,7,0.0727272727272727,5,3,-0.00311677037109269,14.5287281373665,0.00129860760406897,79.4269825436409
"S11208",7070451570,-0.748648854895448,-0.614444580778344,0.148479315937111,-0.2733318300135,-0.0093517600407155,6,0,1,1,-0.00441537797516166,-30.8933905930448,0,34.0048638132296
"S11219",7070451570,-0.559418677494706,-0.313598879362774,0.0595336911142221,-0.135226810539308,-0.170126678706846,9,0,1,1,-0.00441537797516166,-30.8933905930448,0,34.0048638132296
"S11230",7070451570,-0.523735338970903,-0.301855561910154,-0.00769956253089341,-0.112692840714644,-0.101487373815212,8,0,0,0,-0.00441537797516166,-30.8933905930448,0,34.0048638132296
"S11252",7070451570,-0.541570791621631,0.0727059660361369,0.0985163263259019,-0.345001689776332,-0.367791394207338,9,0,0,0,0.0139754266225395,-30.8933905930448,0.0183908045977011,34.0048638132296
"S11263",2070513970,-0.629257556498266,-0.199094912403679,0.0298715214452385,-0.310609164492537,-0.149425001047289,6,0.0075187969924812,5,3,-0.0038382190400199,14.5287281373665,0.000577158935141765,79.4269825436409
"S11265",7070451570,-0.687781676670343,-0.402916200387233,-0.0503078693689999,-0.109545603459185,-0.125012003454925,12,0.00229357798165137,2,1,-0.00441537797516166,-30.8933905930448,0,34.0048638132296
"S11277",7070451570,-0.508339372948025,-0.370496146762026,0.0206859122573629,-0.0815441365974608,-0.0769850018459011,8,0,0,0,-0.00441537797516166,-30.8933905930448,0,34.0048638132296
"S11289",7070451570,-0.795970765887149,-0.252709260978819,0.0121481522985311,-0.307992937121209,-0.247416720085651,6.5,0.0177579365079365,2,1,-0.00441537797516166,-30.8933905930448,0,34.0048638132296
"S11301",7070451570,-0.226397769694837,0.10977932847926,0.0160653637261624,-0.554499241484358,0.202256779584098,4,0,0,0,NA,-30.8933905930448,NA,34.0048638132296
"S11314",7070451570,-1.2082996507253,-0.682913952638532,-0.101951246698575,-0.341277201812881,-0.0821572495753074,4,0,0,0,NA,-30.8933905930448,NA,34.0048638132296
"S1134",2070493320,-0.344238744750413,-0.0512848746264811,-0.0302563024559185,-0.118698680523525,-0.143998887144488,9,0,1,2,-0.00389373535584979,21.7557455937256,0.000521642619311876,86.654
"S1135",2070493320,-1.41694408983911,-1.17544722598031,-0.0543088646363661,-0.187181450558038,-6.54866440091527e-06,3,0,1,1,-0.00441537797516166,21.7557455937256,0,86.654
"S11382",2070513970,-0.563693392371622,-0.260595591879453,-0.000598934381547453,-0.21153297154697,-0.0909658945636518,4,0.0161290322580645,5,3,-0.00441537797516166,14.5287281373665,0,79.4269825436409
"S11497",2070514170,0.821936385275103,0.603316035548131,0.284175343775264,-0.322055525788873,0.256500531740581,4,0.0620842572062084,6,4,-0.00231476990440434,-12.546489700392,0.00210060807075732,52.3517647058824
"S1155",2070022040,-0.282399062142178,-0.129147237225346,0.0416883633726182,-0.115944074851225,-0.0789961134382249,7,0,2,2,-0.00198347136037567,-34.6290236370436,0.00243190661478599,30.2692307692308
"S11610",7070546670,-0.851735165671115,-0.0146709110813858,-0.1380206038856,-0.183871443698543,-0.515172207005586,21,0.0102040816326531,18,1,0.0298311973673041,-60.5554766284966,0.0342465753424658,4.34277777777778
"S11617",2070514170,-0.285357734492821,0.0461539511619979,-0.0355630554999589,-0.340662412083758,0.0447137819288985,3,0.0265957446808511,8,2,-0.00231476990440434,-12.546489700392,0.00210060807075732,52.3517647058824
"S1163",2070022040,-0.636813777333004,-0.323061617556852,-0.0297160656394803,-0.131855878273224,-0.152180215863448,6,0,4,1,-6.83449012317001e-05,-34.6290236370436,0.00434703307392996,30.2692307692308
"S1172",2070022040,-0.961705905671265,-0.622226754309051,0.0270176037052363,-0.25272594586578,-0.11377080920167,3,0,0,0,-0.00398979431757411,-34.6290236370436,0.000425583657587549,30.2692307692308
"S1174",2070022040,-1.11057580012331,-1.02113320636748,0.00799216769252872,-0.288452125580292,0.19101736413193,3,0.000440140845070423,1,1,-0.00441537797516166,-34.6290236370436,0,30.2692307692308
